Price,Status,Area,Rate per sqft,Property Type,Locality,Builder Name,RERA Approval,BHK_Count,Society,Company Name,Flat Type
28000000,Under Construction,1902,"14,750",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Urbankasa,Approved by RERA,3, M3M Golf Hills Phase 1,M3M,Apartment
26800000,Under Construction,2000,"13,400",3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,PAARTH REALTY,Approved by RERA,3, Trehan Luxury Floors 71,Trehan,Apartment
12600000,Under Construction,1055,"12,000",2 BHK Apartment in Signature Global City 79 B,Sector 79,Mehta Real Estate,Approved by RERA,2, Signature Global City 79 B,Signature,Apartment
28000000,Under Construction,1902,"14,750",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Empire Landbase,Approved by RERA,3, M3M Golf Hills Phase 1,M3M,Apartment
21100000,Ready to move,1046,"20,200",2 BHK Apartment in Godrej Air,Sector 85,home,Not approved by RERA,2, Godrej Air,Godrej,Apartment
28000000,Under Construction,1902,"14,750",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Property In Gurgaon,Approved by RERA,3, M3M Golf Hills Phase 1,M3M,Apartment
28000000,Under Construction,1902,"14,750",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,properties for sale in Gurgaon,Approved by RERA,3, M3M Golf Hills Phase 1,M3M,Apartment
45000000,Ready to move,3400,"13,235",4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Akhilesh Sharma,Not approved by RERA,4, Today Developer 6,Today,Floor
26800000,Under Construction,2000,"13,400",3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,SevenRealtys,Approved by RERA,3, Trehan Luxury Floors 71,Trehan,Apartment
37600000,Under Construction,1795,"21,000",3 BHK Apartment in M3M M3M Crown,Sector 111,Accurate Realty Venture Private Limited,Approved by RERA,3, M3M M3M Crown,M3M,Apartment
28000000,Under Construction,1902,"14,750",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Today Associates,Approved by RERA,3, M3M Golf Hills Phase 1,M3M,Apartment
48000000,Ready to move,2802,"17,130",3 BHK Apartment in Experion Windchants,Sector 112,Chirag khatri,Not approved by RERA,3, Experion W,Experion,Apartment
12000000,Ready to move,1322,"9,077",2 BHK Apartment in Umang Winter Hills,Sector 77,Khushi Housing Solutions Pvt Ltd,Not approved by RERA,2, Umang W,Umang,Apartment
14500000,Ready to move,1490,"9,731",2 BHK Apartment in Godrej 101,Sector 79,True blue Advisers,Not approved by RERA,2, Godrej 101,Godrej,Apartment
41000000,Ready to move,2185,"18,764",3 BHK Apartment,Sector 72,Rising Realtors,Not approved by RERA,3,Outside Socity,Outside,Plot
14900000,Ready to move,1822,"8,177",3 BHK Apartment in Umang Winter Hills,Sector 77,Get Home Fix,Not approved by RERA,3, Umang W,Umang,Apartment
22500000,Under Construction,1829,"12,301",3 BHK Apartment in Godrej Air,Sector 85,Arihant dream homes,Approved by RERA,3, Godrej Air,Godrej,Apartment
45000000,Ready to move,3762,"11,961",4 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,Neer Me Consultant,Not approved by RERA,4, Raheja Sushant Lok 1 Floors,Raheja,Floor
29000000,Under Construction,1855,"15,633",3 BHK Apartment in Godrej Meridien,Sector 106,Sansiddhi Homes,Approved by RERA,3, Godrej Meridien,Godrej,Apartment
28000000,Ready to move,2162,"12,950",4 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Gateway Realty,Not approved by RERA,4, Shapoorji Pallonji Joyville Phase 1,Shapoorji,Apartment
27500000,Ready to move,2103,"13,076",3 BHK Apartment in DLF The Primus,Sector 82A,Neeraj Co,Not approved by RERA,3, DLF The Primus,DLF,Apartment
34000000,Under Construction,1967,"17,300",3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Gromax India,Approved by RERA,3, Krisumi Waterfall Residences,Krisumi,Apartment
6200000,Under Construction,765,"8,104",2 BHK Independent House,Sector 104,Sunrise Property Consultants,Not approved by RERA,2,Outside Socity,Outside,Plot
28000000,Under Construction,1902,"14,750",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,AG Luxury Abodes,Approved by RERA,3, M3M Golf Hills Phase 1,M3M,Apartment
27000000,Ready to move,4500,"6,000",4 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,home,Not approved by RERA,4, Reputed Builder Sushant Lok 3,Reputed,Floor
4900000,Ready to move,575,"8,521",2 BHK Apartment,Sector 93,Property In Gurgaon,Not approved by RERA,2,Outside Socity,Outside,Plot
14500000,Under Construction,1751,"8,280",3 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,properties for sale in Gurgaon,Approved by RERA,3, Eldeco Acclaim,Eldeco,Apartment
18500000,Ready to move,1550,"11,935",2 BHK Apartment in Puri Emerald Bay,Sector 104,Paramount Associates,Not approved by RERA,2, Puri Emerald Bay,Puri,Apartment
1970000,Under Construction,220,"8,954",1 RK Studio Apartment in DLF Magnolias,Sector 42,N S ASSOCIATES,Approved by RERA,1, DLF Magnolias,DLF,Apartment
17100000,Under Construction,921,"18,566",1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,MAS Infra,Approved by RERA,1, Krisumi Waterfall Suites,Krisumi,Apartment
19300000,Ready to move,1840,"10,500",3 BHK Independent Floor in Ahuja Builders 4,Sector 23 Gurgaon,Mangalam infratech,Not approved by RERA,3, Ahuja Builders 4,Ahuja,Floor
12500000,Under Construction,1454,"8,629",3 BHK Independent Floor in Landmark Avana 1st Phase,Sector 95,MAA KARNI PROPERTIES,Approved by RERA,3, Landmark Avana 1st Phase,Landmark,Floor
28500000,Ready to move,2010,"14,179",4 BHK Apartment in Tulip Violet,Sector 69,Surya Homes Developers,Not approved by RERA,4, Tulip Violet,Tulip,Apartment
25000000,Ready to move,2660,"9,398",3 BHK Apartment in Bestech Park View Grand Spa,Sector 81,SMART HOMZZ,Not approved by RERA,3, Bestech Park View Grand Spa,Bestech,Apartment
22500000,Ready to move,2215,"10,158",4 BHK Apartment in DLF Regal Gardens,Sector 90,WADHWA REALTORS,Not approved by RERA,4, DLF Regal Gardens,DLF,Apartment
